start,end,text
00h00m00.000sec,00h00m00.700sec,I love it.
00h00m00.860sec,00h00m02.620sec,"Alright, jobs will be a hobby."
00h00m02.980sec,00h00m07.740sec,Elon Musk making another one of his bold predictions about the future and advancements
00h00m07.740sec,00h00m09.140sec,in artificial intelligence.
00h00m09.320sec,00h00m09.779sec,Watch this.
00h00m10.800sec,00h00m12.320sec,Probably none of us will have a job.
00h00m12.699sec,00h00m15.960sec,"If you want to do a job as kind of like a hobby, you need to do a job."
00h00m17.160sec,00h00m22.300sec,But otherwise the AI and the robots will provide any goods and services that you want.
00h00m23.199sec,00h00m24.440sec,"Yeah, Musk wasn't done there."
00h00m24.660sec,00h00m29.260sec,The billionaire also given a master class on how to shut down a liberal media reporter.
00h00m30.160sec,00h00m30.920sec,"Hi, Elon."
00h00m31.199sec,00h00m33.039sec,Spreah Shavastra from Business Insider.
00h00m33.939sec,00h00m35.000sec,Taking into Tesla.
00h00m35.259sec,00h00m41.460sec,"Tesla's had a bumpy few months looking at flagging sales at home, stock market decline, layoffs."
00h00m41.880sec,00h00m43.719sec,"When you look back, are there any things?"
00h00m43.780sec,00h00m47.759sec,We can stop the question right now because I don't think business insiders are a real
00h00m47.759sec,00h00m48.140sec,publication.
00h00m48.820sec,00h00m48.939sec,Okay.
00h00m49.140sec,00h00m50.399sec,So let's do one for the next question.
00h00m50.740sec,00h00m51.380sec,"Alright, thank you."
00h00m51.659sec,00h00m53.119sec,So next question number four.
00h00m55.520sec,00h00m57.979sec,"Yeah, he's Steve Jowls one minute and I'll drop the next."
00h00m57.979sec,00h01m01.740sec,"Alright, but is artificial intelligence ready for prompt time?"
00h01m02.060sec,00h01m08.239sec,"After Google's woke AI disaster, the tech giant's new AI search prompt is facing criticism"
00h01m08.239sec,00h01m12.540sec,for telling folks to put glue in their pizza and eat rocks.
00h01m14.660sec,00h01m16.379sec,I got a five year old.
00h01m16.500sec,00h01m20.379sec,"She's, she's level to do both, but she did it on a more serious topic."
00h01m20.680sec,00h01m25.359sec,I think what Elon was saying is if a robot's doing your job and you don't really like
00h01m25.359sec,00h01m28.680sec,"your job, anyway, you can dedicate your time to things you are passionate about."
00h01m29.040sec,00h01m32.120sec,"Well, this reminded me I was thinking about when Speaker Pelosi, when they were trying"
00h01m32.120sec,00h01m35.239sec,"to get, when she was then Speaker Pelosi, was trying to get the Affordable Care Act passed"
00h01m35.239sec,00h01m37.799sec,"and she said, we got to do this so people aren't tied to jobs."
00h01m37.959sec,00h01m38.519sec,So they have health care.
00h01m38.640sec,00h01m41.239sec,"So if they want to be artists or take pictures all day, they can do that."
00h01m41.620sec,00h01m44.760sec,"Well, my question is, if you're just doing hobbies, how are you paying the rent?"
00h01m44.900sec,00h01m48.319sec,"If the robots are doing the jobs, I don't understand where the income is coming from."
00h01m48.319sec,00h01m49.079sec,It's got to be universal.
00h01m49.579sec,00h01m49.840sec,They come.
00h01m50.099sec,00h01m52.620sec,Who's the guy that ran for Democratic nominee?
00h01m53.280sec,00h01m53.620sec,Andrew James.
00h01m53.920sec,00h01m54.319sec,Andrew James.
00h01m54.319sec,00h01m55.120sec,You think about him?
00h01m55.219sec,00h01m55.780sec,It's got to be that.
